NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30,1003,2,4,10,28,33,39,3,5000000,2020-01-07
30,1002,13,14,21,30,31,33,22,36900000,2020-01-04
30,1001,10,14,16,29,33,35,31,35000000,2019-12-31
30,1000,2,4,5,14,34,39,36,32900000,2019-12-28
30,999,15,26,34,37,38,39,10,31400000,2019-12-24
30,998,6,10,11,26,27,29,21,29600000,2019-12-21
30,997,1,8,13,14,20,28,19,27800000,2019-12-17
30,996,5,12,14,32,34,39,19,25900000,2019-12-14
30,995,8,10,11,15,25,38,29,24200000,2019-12-10
30,994,3,7,14,19,22,38,33,22400000,2019-12-07
30,993,1,4,11,12,27,36,24,20800000,2019-12-03
30,992,1,2,3,6,18,34,11,19000000,2019-11-30
30,991,6,19,22,27,37,38,2,17400000,2019-11-26
30,990,2,8,13,27,36,37,3,16000000,2019-11-23
30,989,7,8,11,26,36,38,3,14500000,2019-11-19
30,988,1,4,7,23,25,27,8,12800000,2019-11-16
30,987,2,4,11,14,22,33,21,11500000,2019-11-12
30,986,1,17,25,30,32,33,21,10000000,2019-11-09
30,985,7,9,13,17,24,34,26,8600000,2019-11-05
30,984,4,5,10,15,26,27,7,7400000,2019-11-02
30,983,1,11,13,28,33,36,2,6400000,2019-10-29
30,982,2,4,8,10,14,16,30,5300000,2019-10-26
30,981,6,9,21,25,31,35,4,5200000,2019-10-22
30,980,1,9,12,15,33,34,23,5100000,2019-10-19
30,979,4,15,17,18,23,36,13,5000000,2019-10-15
30,978,18,19,28,29,31,33,27,52000000,2019-10-12
30,977,8,10,13,15,32,34,37,49900000,2019-10-08
30,976,5,7,10,11,27,30,16,47900000,2019-10-05
30,975,3,10,14,23,26,33,13,45800000,2019-10-01
30,974,12,14,18,22,23,30,31,43600000,2019-09-28
30,973,1,10,12,18,20,24,34,41500000,2019-09-24
30,972,3,10,13,18,26,34,33,39500000,2019-09-21
30,971,3,12,13,17,25,37,10,37900000,2019-09-17
30,970,5,17,20,28,30,36,25,35900000,2019-09-14
30,969,17,22,26,27,36,38,39,34200000,2019-09-10
30,968,6,21,22,30,32,38,8,32400000,2019-09-07
30,967,1,15,33,35,38,39,32,30500000,2019-09-03
30,966,2,8,15,30,32,37,31,28500000,2019-08-31
30,965,1,9,11,14,20,22,7,27000000,2019-08-27
30,964,5,6,12,16,36,37,26,25500000,2019-08-24
30,963,16,17,19,25,26,37,30,23900000,2019-08-20
30,962,5,6,27,29,34,35,26,22300000,2019-08-17
30,961,7,8,15,25,31,35,11,20700000,2019-08-13
30,960,9,14,17,30,36,37,11,19200000,2019-08-10
30,959,4,6,7,15,16,25,34,17800000,2019-08-06
30,958,8,10,17,18,36,39,33,16000000,2019-08-03
30,957,23,24,25,26,28,30,19,14800000,2019-07-30
30,956,13,15,26,32,38,39,9,13400000,2019-07-27
30,955,2,7,14,15,30,36,28,12200000,2019-07-23
30,954,3,11,21,23,24,38,35,10800000,2019-07-20
30,953,20,26,29,31,37,38,22,9400000,2019-07-16
30,952,1,4,10,26,27,33,7,8000000,2019-07-13
30,951,1,3,4,12,17,32,16,7000000,2019-07-09
30,950,7,12,17,21,24,37,14,5800000,2019-07-06
30,949,17,20,22,24,29,31,11,5300000,2019-07-02
30,948,1,8,12,17,18,23,31,5200000,2019-06-29
30,947,4,6,9,16,27,33,24,5100000,2019-06-25
30,946,6,8,18,21,23,32,4,5000000,2019-06-22
30,945,1,8,23,24,29,37,38,5300000,2019-06-18
30,944,2,25,27,31,33,38,9,5200000,2019-06-15
30,943,4,6,11,23,28,35,22,5100000,2019-06-11
30,942,2,3,6,9,21,34,31,5000000,2019-06-08
30,941,1,7,12,25,29,35,15,5000000,2019-06-04
30,940,2,7,14,19,24,37,5,5200000,2019-06-01
30,939,5,13,21,22,23,36,8,5100000,2019-05-28
30,938,3,6,17,24,25,33,5,5000000,2019-05-25
30,937,8,10,14,22,29,36,7,21800000,2019-05-21
30,936,2,4,11,22,26,35,31,20200000,2019-05-18
30,935,8,22,23,24,35,37,17,18800000,2019-05-14
30,934,8,9,11,16,21,32,31,17400000,2019-05-11
30,933,2,6,11,26,37,38,21,16000000,2019-05-07
30,932,12,13,26,29,35,39,15,14600000,2019-05-04
30,931,9,13,16,19,30,39,12,13300000,2019-04-30
