POS,NUM,UAP,PROM,80_P,MAX,STD,D1,D2,D3
R1,1,11,5.8,9.0,43,5.3,-5.2,-2.0,0.09999999999999964
R1,6,23,14.3,22.0,112,13.5,-8.7,-1.0,4.800000000000001
R1,7,27,15.6,27.0,97,16.0,-11.4,0.0,4.600000000000001
R1,13,67,56.0,86.80000000000001,281,50.9,-11.0,19.80000000000001,39.900000000000006
R1,14,111,106.7,191.2,343,86.5,-4.299999999999997,80.19999999999999,82.19999999999999
R1,16,525,260.0,521.0,830,272.9,-265.0,-4.0,7.899999999999977
R1,18,1018,395.4,697.6000000000001,1018,323.2,-622.6,-320.39999999999986,-299.4000000000001
R1,19,2032,619.6,955.8000000000004,2032,632.2,-1412.4,-1076.1999999999996,-780.1999999999998
R1,20,1589,965.8,1589.0,1959,649.1,-623.2,0.0,25.90000000000009
R2,3,28,24.9,39.0,154,25.1,-3.1000000000000014,11.0,22.0
R2,7,23,12.6,19.0,75,12.3,-10.4,-4.0,1.8999999999999986
R2,9,15,12.8,19.0,77,13.0,-2.1999999999999993,4.0,10.8
R2,12,19,15.7,23.0,144,15.0,-3.3000000000000007,4.0,11.7
R2,13,25,19.4,30.600000000000023,106,18.9,-5.600000000000001,5.600000000000023,13.299999999999997
R2,19,196,74.9,114.4,370,70.7,-121.1,-81.6,-50.39999999999998
R2,21,375,156.6,274.8,552,135.6,-218.4,-100.19999999999999,-82.80000000000001
R2,25,4243,2297.5,3464.8,4243,1945.5,-1945.5,-778.1999999999998,0.0
R3,8,41,25.1,41.0,99,22.1,-15.899999999999999,0.0,6.200000000000003
R3,10,22,18.6,28.0,103,17.5,-3.3999999999999986,6.0,14.100000000000001
R3,11,30,16.4,27.0,96,15.8,-13.600000000000001,-3.0,2.200000000000003
R3,13,17,13.8,21.0,111,14.3,-3.1999999999999993,4.0,11.100000000000001
R3,18,16,15.7,24.0,89,15.6,-0.3000000000000007,8.0,15.299999999999997
R3,23,97,49.2,78.80000000000001,238,46.8,-47.8,-18.19999999999999,-1.0
R3,25,142,128.4,208.0,380,96.1,-13.599999999999994,66.0,82.5
R4,5,994,817.7,972.0000000000001,1831,492.2,-176.29999999999995,-21.999999999999886,315.9000000000001
R4,8,243,129.1,213.8,414,93.6,-113.9,-29.19999999999999,-20.30000000000001
R4,15,86,21.0,32.0,120,19.3,-65.0,-54.0,-45.7
R4,20,13,11.9,19.0,107,12.1,-1.0999999999999996,6.0,11.0
R4,22,14,13.6,22.0,113,13.4,-0.40000000000000036,8.0,13.0
R4,23,37,12.0,19.0,72,11.0,-25.0,-18.0,-14.0
R4,26,24,20.8,34.0,162,21.0,-3.1999999999999993,10.0,17.799999999999997
R4,27,80,37.1,58.60000000000001,166,32.9,-42.9,-21.39999999999999,-10.0
R5,7,1584,1349.0,1490.0,1584,235.0,-235.0,-94.0,0.0
R5,11,408,379.0,538.4000000000001,984,291.6,-29.0,130.4000000000001,262.6
R5,12,857,414.4,589.4000000000001,1577,420.1,-442.6,-267.5999999999999,-22.5
R5,13,338,180.1,307.4000000000001,880,198.1,-157.9,-30.59999999999991,40.19999999999999
R5,14,237,143.7,239.8,721,140.1,-93.30000000000001,2.8000000000000114,46.799999999999955
R5,18,39,37.7,57.0,163,34.1,-1.2999999999999972,18.0,32.80000000000001
R5,19,44,33.1,56.0,145,31.0,-10.899999999999999,12.0,20.099999999999994
R5,21,30,17.7,29.0,97,16.2,-12.3,-1.0,3.8999999999999986
R5,22,20,16.7,25.0,92,15.9,-3.3000000000000007,5.0,12.600000000000001
R5,28,7,5.6,9.0,39,5.0,-1.4000000000000004,2.0,3.5999999999999996
