POS,NUM,UAP,PROM,80_P,MAX,STD,D1,D2,D3
R1,2,18,9.6,15.0,46,8.6,-8.4,-3.0,0.1999999999999993
R1,5,13,12.2,21.0,54,11.1,-0.8000000000000007,8.0,10.299999999999997
R1,10,33,21.6,34.0,87,20.7,-11.399999999999999,1.0,9.299999999999997
R1,12,82,29.6,54.2,101,25.9,-52.4,-27.799999999999997,-26.5
R1,19,91,85.7,151.8,237,65.8,-5.299999999999997,60.80000000000001,60.5
R1,23,414,197.5,231.0,414,110.1,-216.5,-183.0,-106.39999999999998
R1,24,88,70.4,108.4,306,72.6,-17.599999999999994,20.400000000000006,55.0
R1,27,170,101.7,132.8,170,48.9,-68.3,-37.19999999999999,-19.400000000000006
R1,28,286,168.5,236.20000000000005,286,82.7,-117.5,-49.799999999999955,-34.80000000000001
R1,30,854,591.5,749.0,854,262.5,-262.5,-105.0,0.0
R1,37,232,172.5,208.20000000000002,232,59.5,-59.5,-23.799999999999983,0.0
R2,4,68,40.5,70.00000000000003,163,37.4,-27.5,2.0000000000000284,9.900000000000006
R2,8,38,20.5,30.400000000000006,106,19.5,-17.5,-7.599999999999994,2.0
R2,9,44,25.7,39.20000000000002,134,28.4,-18.3,-4.799999999999983,10.099999999999994
R2,13,36,20.2,30.400000000000006,122,22.3,-15.8,-5.599999999999994,6.5
R2,15,23,22.0,33.400000000000006,78,20.1,-1.0,10.400000000000006,19.1
R2,21,31,24.6,39.2,118,26.1,-6.399999999999999,8.200000000000003,19.700000000000003
R2,23,83,44.0,79.20000000000002,118,34.1,-39.0,-3.799999999999983,-4.900000000000006
R2,26,143,47.7,67.40000000000002,189,46.5,-95.3,-75.59999999999998,-48.8
R2,28,71,66.7,74.0,242,64.8,-4.299999999999997,3.0,60.5
R2,29,88,68.5,101.60000000000001,264,63.5,-19.5,13.600000000000009,44.0
R2,30,113,94.5,134.0,213,62.3,-18.5,21.0,43.80000000000001
R2,32,170,118.3,188.60000000000002,204,70.2,-51.7,18.600000000000023,18.5
R2,37,886,602.0,772.4000000000001,886,284.0,-284.0,-113.59999999999991,0.0
R2,43,267,221.0,331.8,375,148.1,-46.0,64.80000000000001,102.10000000000002
R2,44,554,519.0,540.0,554,35.0,-35.0,-14.0,0.0
R3,5,409,321.5,374.00000000000006,409,87.5,-87.5,-34.99999999999994,0.0
R3,6,185,178.0,266.40000000000003,316,103.7,-7.0,81.40000000000003,96.69999999999999
R3,7,330,108.1,174.8,330,103.6,-221.9,-155.2,-118.30000000000001
R3,12,63,35.0,56.20000000000001,119,28.6,-28.0,-6.79999999999999,0.6000000000000014
R3,14,35,31.1,54.00000000000001,95,24.1,-3.8999999999999986,19.000000000000007,20.200000000000003
R3,15,39,34.5,55.60000000000002,125,31.1,-4.5,16.600000000000023,26.599999999999994
R3,16,41,33.1,56.60000000000001,101,25.9,-7.899999999999999,15.600000000000009,18.0
R3,18,24,23.4,35.400000000000006,93,23.1,-0.6000000000000014,11.400000000000006,22.5
R3,21,62,26.9,40.2,121,26.2,-35.1,-21.799999999999997,-8.900000000000006
R3,23,27,22.2,33.2,110,22.3,-4.800000000000001,6.200000000000003,17.5
R3,27,42,26.3,48.0,97,23.3,-15.7,6.0,7.600000000000001
R3,35,65,57.0,99.0,160,45.0,-8.0,34.0,37.0
R3,36,52,47.1,84.20000000000005,123,35.0,-4.899999999999999,32.200000000000045,30.099999999999994
R3,38,104,67.1,71.2,389,87.2,-36.900000000000006,-32.8,50.30000000000001
R3,39,310,118.4,177.8,310,88.6,-191.6,-132.2,-103.0
R3,40,151,51.2,91.60000000000004,151,48.7,-99.8,-59.39999999999996,-51.099999999999994
R3,42,125,111.4,198.8,259,88.5,-13.599999999999994,73.80000000000001,74.9
R3,44,297,123.1,179.00000000000006,297,85.5,-173.9,-117.99999999999994,-88.4
R3,45,123,90.7,127.6,209,52.8,-32.3,4.599999999999994,20.5
R3,49,796,286.0,491.6000000000001,796,360.6,-510.0,-304.3999999999999,-149.39999999999998
R3,50,531,476.0,509.0,531,55.0,-55.0,-22.0,0.0
R4,19,53,48.2,80.60000000000001,108,29.8,-4.799999999999997,27.60000000000001,25.0
R4,21,116,39.6,62.0,119,35.3,-76.4,-54.0,-41.099999999999994
R4,28,145,31.3,49.0,145,31.7,-113.7,-96.0,-82.0
R4,33,49,22.9,34.800000000000004,86,19.1,-26.1,-14.199999999999996,-7.0
R4,38,33,28.4,40.40000000000001,97,25.4,-4.600000000000001,7.400000000000013,20.799999999999997
R4,40,85,30.0,51.2,85,24.0,-55.0,-33.8,-31.0
R4,43,52,37.1,54.0,160,34.0,-14.899999999999999,2.0,19.099999999999994
