POS,NUM,UAP,PROM,80_P,MAX,STD,D1,D2,D3
F1,5,16,13.2,24.60000000000001,49,11.2,-2.8000000000000007,8.600000000000009,8.399999999999999
F1,8,18,16.0,26.400000000000006,60,13.0,-2.0,8.400000000000006,11.0
F1,9,24,20.1,27.60000000000001,76,16.1,-3.8999999999999986,3.6000000000000085,12.200000000000003
F1,10,26,20.6,31.800000000000004,127,23.2,-5.399999999999999,5.800000000000004,17.799999999999997
F1,11,33,29.2,46.400000000000006,85,23.6,-3.8000000000000007,13.400000000000006,19.799999999999997
F1,13,78,70.0,102.60000000000007,243,74.5,-8.0,24.600000000000065,66.5
F1,14,139,66.9,98.60000000000001,156,44.9,-72.1,-40.39999999999999,-27.19999999999999
F1,15,74,63.5,83.60000000000002,382,93.5,-10.5,9.600000000000023,83.0
F1,19,570,454.5,523.8,570,115.5,-115.5,-46.200000000000045,0.0
F1,21,268,257.5,263.8,268,10.5,-10.5,-4.199999999999989,0.0
F2,5,31,20.9,32.400000000000006,72,15.8,-10.100000000000001,1.4000000000000057,5.700000000000003
F2,9,21,17.6,30.0,70,15.7,-3.3999999999999986,9.0,12.299999999999997
F2,10,18,17.7,30.20000000000001,60,14.0,-0.3000000000000007,12.20000000000001,13.7
F2,13,16,15.9,26.80000000000001,48,13.1,-0.09999999999999964,10.800000000000011,13.0
F2,14,77,18.5,28.200000000000003,77,18.5,-58.5,-48.8,-40.0
F2,15,63,15.9,27.80000000000001,63,16.2,-47.1,-35.19999999999999,-30.9
F2,16,40,21.6,30.199999999999996,169,28.8,-18.4,-9.800000000000004,10.400000000000006
F2,17,112,26.0,38.0,112,26.7,-86.0,-74.0,-59.3
F2,18,55,34.7,54.400000000000006,136,29.5,-20.299999999999997,-0.5999999999999943,9.200000000000003
F2,19,50,43.5,70.0,176,40.8,-6.5,20.0,34.3
F2,21,76,50.6,83.20000000000002,113,35.0,-25.4,7.200000000000017,9.599999999999994
F2,23,204,127.4,207.4,221,76.0,-76.6,3.4000000000000057,-0.5999999999999943
F2,24,79,65.6,83.0,175,43.3,-13.400000000000006,4.0,29.89999999999999
F2,29,496,249.7,391.2,496,195.0,-246.3,-104.80000000000001,-51.30000000000001
F3,7,42,38.0,60.400000000000006,174,37.7,-4.0,18.400000000000006,33.7
F3,13,28,16.1,27.800000000000004,55,13.8,-11.899999999999999,-0.19999999999999574,1.9000000000000021
F3,15,43,16.6,27.800000000000004,60,14.5,-26.4,-15.199999999999996,-11.899999999999999
F3,16,24,16.4,25.400000000000006,68,14.6,-7.600000000000001,1.4000000000000057,7.0
F3,19,32,16.9,26.60000000000001,64,15.5,-15.100000000000001,-5.3999999999999915,0.3999999999999986
F3,20,80,18.4,32.0,81,19.8,-61.6,-48.0,-41.8
F3,24,56,26.6,43.80000000000004,101,25.7,-29.4,-12.19999999999996,-3.700000000000003
F3,25,55,22.0,34.0,72,18.2,-33.0,-21.0,-14.799999999999997
F3,31,281,216.8,301.0,331,118.1,-64.19999999999999,20.0,53.89999999999998
F3,32,249,138.3,208.20000000000002,249,94.1,-110.69999999999999,-40.79999999999998,-16.599999999999994
F3,33,546,289.7,404.4,546,183.0,-256.3,-141.60000000000002,-73.30000000000001
F3,35,906,468.0,730.8000000000001,906,438.0,-438.0,-175.19999999999993,0.0
F4,7,852,451.5,691.8000000000001,852,400.5,-400.5,-160.19999999999993,0.0
F4,10,165,112.5,142.20000000000005,297,78.3,-52.5,-22.799999999999955,25.80000000000001
F4,13,105,54.5,88.4,152,40.0,-50.5,-16.599999999999994,-10.5
F4,14,28,23.8,30.0,102,25.0,-4.199999999999999,2.0,20.799999999999997
F4,18,39,26.2,42.400000000000006,93,22.7,-12.8,3.4000000000000057,9.899999999999999
F4,20,40,21.5,36.99999999999999,68,18.3,-18.5,-3.000000000000007,-0.20000000000000284
F4,27,36,15.6,23.0,63,13.4,-20.4,-13.0,-7.0
F4,28,26,19.4,29.200000000000003,117,20.9,-6.600000000000001,3.200000000000003,14.299999999999997
F4,29,23,19.1,30.600000000000023,90,18.9,-3.8999999999999986,7.600000000000023,15.0
F4,32,68,33.6,39.60000000000001,201,36.2,-34.4,-28.39999999999999,1.8000000000000114
F4,34,75,53.4,92.40000000000003,120,38.9,-21.6,17.400000000000034,17.299999999999997
F4,35,90,72.4,87.6,177,42.0,-17.599999999999994,-2.4000000000000057,24.400000000000006
F5,12,386,201.0,312.0,386,185.0,-185.0,-74.0,0.0
F5,14,58,52.5,55.800000000000004,58,5.5,-5.5,-2.1999999999999957,0.0
F5,19,83,42.0,75.2,94,31.5,-41.0,-7.799999999999997,-9.5
F5,22,133,47.6,53.400000000000006,156,38.1,-85.4,-79.6,-47.3
F5,26,19,17.9,28.800000000000004,47,13.1,-1.1000000000000014,9.800000000000004,12.0
F5,31,27,13.0,19.6,63,12.7,-14.0,-7.399999999999999,-1.3000000000000007
F5,32,25,12.9,20.0,53,12.0,-12.1,-5.0,-0.10000000000000142
F5,34,31,17.6,25.0,83,15.4,-13.399999999999999,-6.0,2.0
F5,36,77,17.0,25.0,77,18.6,-60.0,-52.0,-41.4
F6,22,142,78.0,144.0,152,60.1,-64.0,2.0,-3.9000000000000057
F6,24,345,184.2,277.80000000000007,345,117.3,-160.8,-67.19999999999993,-43.5
F6,26,105,41.3,52.00000000000001,170,36.5,-63.7,-52.99999999999999,-27.200000000000003
F6,27,71,63.3,98.80000000000007,212,59.5,-7.700000000000003,27.800000000000068,51.8
F6,30,48,32.6,48.0,126,32.8,-15.399999999999999,0.0,17.400000000000006
F6,34,13,12.1,17.0,47,9.4,-0.9000000000000004,4.0,8.5
F6,35,12,11.5,20.0,54,10.6,-0.5,8.0,10.100000000000001
F6,39,23,7.1,11.0,36,6.2,-15.9,-12.0,-9.7
