POS,NUM,UAP,PROM,80_P,MAX,STD,D1,D2,D3
R1,2,25,9.5,14.0,51,9.4,-15.5,-11.0,-6.100000000000001
R1,3,23,11.8,19.0,53,9.8,-11.2,-4.0,-1.3999999999999986
R1,7,40,18.8,24.0,107,20.8,-21.2,-16.0,-0.3999999999999986
R1,11,67,39.9,50.20000000000002,178,35.3,-27.1,-16.799999999999983,8.199999999999989
R1,12,52,34.3,57.000000000000014,95,25.6,-17.700000000000003,5.000000000000014,7.899999999999999
R1,13,29,25.0,34.00000000000004,92,23.0,-4.0,5.000000000000043,19.0
R1,15,107,42.3,57.0,141,36.0,-64.7,-50.0,-28.700000000000003
R1,16,94,44.0,77.4,159,40.8,-50.0,-16.599999999999994,-9.200000000000003
R1,23,380,133.6,138.0,380,91.6,-246.4,-242.0,-154.8
R1,24,186,119.0,195.0,305,92.1,-67.0,9.0,25.099999999999994
R1,28,265,251.2,321.00000000000006,405,98.8,-13.800000000000011,56.00000000000006,85.0
R1,29,884,526.0,740.8000000000001,884,358.0,-358.0,-143.19999999999993,0.0
R1,30,612,289.5,423.60000000000014,612,208.2,-322.5,-188.39999999999986,-114.30000000000001
R2,4,92,39.1,67.0,189,38.8,-52.9,-25.0,-14.099999999999994
R2,6,31,29.2,41.60000000000001,133,29.2,-1.8000000000000007,10.600000000000009,27.4
R2,13,80,20.4,33.0,80,16.9,-59.6,-47.0,-42.7
R2,16,63,27.2,43.59999999999999,99,26.7,-35.8,-19.400000000000013,-9.100000000000001
R2,20,39,27.2,39.0,137,30.7,-11.8,0.0,18.9
R2,21,30,29.5,45.0,140,30.0,-0.5,15.0,29.5
R2,22,38,30.3,51.20000000000002,107,27.2,-7.699999999999999,13.200000000000017,19.5
R2,24,34,31.2,47.0,99,24.4,-2.8000000000000007,13.0,21.599999999999994
R2,25,115,37.9,58.0,136,34.2,-77.1,-57.0,-42.900000000000006
R2,28,55,40.8,57.400000000000006,128,34.5,-14.200000000000003,2.4000000000000057,20.299999999999997
R2,32,183,95.8,177.8,255,83.0,-87.2,-5.199999999999989,-4.199999999999989
R2,33,252,118.9,222.8,252,87.1,-133.1,-29.19999999999999,-46.0
R2,35,375,221.2,332.6,375,119.2,-153.8,-42.39999999999998,-34.60000000000002
R2,38,310,247.0,284.8,310,63.0,-63.0,-25.19999999999999,0.0
R2,41,419,279.7,385.0,419,141.3,-139.3,-34.0,2.0
R3,6,201,121.7,227.40000000000003,342,120.4,-79.3,26.400000000000034,41.10000000000002
R3,22,30,27.3,37.79999999999999,108,25.0,-2.6999999999999993,7.79999999999999,22.299999999999997
R3,23,32,24.1,34.40000000000002,110,23.7,-7.899999999999999,2.40000000000002,15.799999999999997
R3,25,44,27.5,44.8,141,28.4,-16.5,0.7999999999999972,11.899999999999999
R3,28,35,26.2,40.0,98,18.9,-8.8,5.0,10.099999999999994
R3,29,53,28.7,48.0,85,21.0,-24.3,-5.0,-3.299999999999997
R3,30,103,25.3,40.0,103,21.1,-77.7,-63.0,-56.599999999999994
R3,34,118,43.4,62.800000000000026,118,28.6,-74.6,-55.199999999999974,-46.0
R3,35,122,47.4,71.20000000000005,122,34.3,-74.6,-50.799999999999955,-40.30000000000001
R3,37,50,38.4,59.0,171,38.6,-11.600000000000001,9.0,27.0
R3,40,74,55.3,102.40000000000002,132,44.6,-18.700000000000003,28.40000000000002,25.900000000000006
R3,41,193,161.8,253.80000000000004,345,124.8,-31.19999999999999,60.80000000000004,93.60000000000002
R3,43,246,131.7,209.40000000000003,332,100.6,-114.30000000000001,-36.599999999999966,-13.700000000000017
R3,44,453,197.0,267.40000000000003,453,142.2,-256.0,-185.59999999999997,-113.80000000000001
R3,46,250,205.2,278.2,301,116.0,-44.80000000000001,28.19999999999999,71.19999999999999
R3,48,940,601.0,804.4,940,339.0,-339.0,-135.60000000000002,0.0
R4,8,606,306.5,486.2,606,299.5,-299.5,-119.80000000000001,0.0
R4,9,327,193.5,273.6,327,133.5,-133.5,-53.39999999999998,0.0
R4,17,119,67.2,118.60000000000001,177,53.3,-51.8,-0.3999999999999915,1.5
R4,22,188,42.4,58.2,188,42.5,-145.6,-129.8,-103.1
R4,23,48,47.8,80.20000000000002,135,32.9,-0.20000000000000284,32.20000000000002,32.69999999999999
R4,25,71,26.6,44.400000000000006,117,24.2,-44.4,-26.599999999999994,-20.200000000000003
R4,26,76,30.4,47.00000000000002,171,34.9,-45.6,-28.99999999999998,-10.700000000000003
R4,27,47,36.2,54.6,147,32.0,-10.799999999999997,7.600000000000001,21.200000000000003
R4,28,45,35.8,62.6,87,23.8,-9.200000000000003,17.6,14.599999999999994
R4,31,35,25.7,40.40000000000001,111,26.2,-9.3,5.400000000000013,16.9
R4,33,22,21.2,35.800000000000004,72,19.7,-0.8000000000000007,13.800000000000004,18.9
R4,36,38,21.8,33.400000000000006,75,18.1,-16.2,-4.599999999999994,1.9000000000000057
R4,44,82,46.3,67.80000000000001,170,42.8,-35.7,-14.199999999999989,7.099999999999994
R4,45,164,62.4,83.20000000000002,377,86.3,-101.6,-80.79999999999998,-15.300000000000011
R4,46,75,60.6,83.60000000000001,211,52.3,-14.399999999999999,8.600000000000009,37.900000000000006
R4,53,701,387.0,575.4000000000001,701,314.0,-314.0,-125.59999999999991,0.0
R4,54,551,347.5,469.6,551,203.5,-203.5,-81.39999999999998,0.0
R5,15,613,285.3,459.80000000000007,613,248.1,-327.7,-153.19999999999993,-79.60000000000002
R5,16,327,320.3,442.20000000000005,519,165.0,-6.699999999999989,115.20000000000005,158.3
R5,20,713,216.5,353.60000000000025,713,289.4,-496.5,-359.39999999999975,-207.10000000000002
R5,24,374,169.1,239.0,374,114.6,-204.9,-135.0,-90.30000000000001
R5,25,308,114.8,159.2,308,91.2,-193.2,-148.8,-102.0
R5,27,184,108.4,213.0,293,97.8,-75.6,29.0,22.19999999999999
R5,28,47,46.2,48.0,294,67.7,-0.7999999999999972,1.0,66.9
R5,33,169,41.7,70.0,169,43.2,-127.3,-99.0,-84.1
R5,36,56,21.3,39.60000000000001,66,18.8,-34.7,-16.39999999999999,-15.899999999999999
R5,38,36,25.6,38.0,137,24.7,-10.399999999999999,2.0,14.299999999999997
R5,43,74,23.5,39.0,116,22.4,-50.5,-35.0,-28.1
R5,44,25,24.7,44.400000000000006,82,19.9,-0.3000000000000007,19.400000000000006,19.599999999999994
R5,47,24,21.6,37.400000000000006,80,19.5,-2.3999999999999986,13.400000000000006,17.1
R5,51,77,27.3,43.800000000000004,121,24.9,-49.7,-33.199999999999996,-24.799999999999997
R6,27,590,358.7,456.40000000000003,590,163.9,-231.3,-133.59999999999997,-67.39999999999998
R6,29,184,140.9,206.4,376,119.0,-43.099999999999994,22.400000000000006,75.89999999999998
R6,31,327,260.2,373.80000000000007,444,146.5,-66.80000000000001,46.80000000000007,79.69999999999999
R6,35,141,110.4,150.0,319,82.9,-30.599999999999994,9.0,52.30000000000001
R6,37,112,56.5,91.0,182,45.7,-55.5,-21.0,-9.799999999999997
R6,39,121,73.9,117.0,261,71.9,-47.099999999999994,-4.0,24.80000000000001
R6,45,40,30.1,40.60000000000001,156,28.9,-9.899999999999999,0.6000000000000085,19.0
R6,46,60,21.6,40.0,71,18.0,-38.4,-20.0,-20.4
R6,47,32,22.4,31.200000000000017,114,21.2,-9.600000000000001,-0.799999999999983,11.599999999999994
R6,48,24,20.1,34.2,92,17.0,-3.8999999999999986,10.200000000000003,13.100000000000001
R6,53,16,12.0,20.400000000000006,44,11.0,-4.0,4.400000000000006,7.0
