POS,NUM,UAP,PROM,80_P,MAX,STD,D1,D2,D3
F1,1,13,10.1,15.799999999999997,39,9.0,-2.9000000000000004,2.799999999999997,6.100000000000001
F1,5,18,14.4,24.0,109,17.3,-3.5999999999999996,6.0,13.700000000000003
F1,6,14,13.7,19.200000000000003,59,12.2,-0.3000000000000007,5.200000000000003,11.899999999999999
F1,10,35,20.3,33.400000000000006,81,18.7,-14.7,-1.5999999999999943,4.0
F1,11,56,30.8,44.400000000000006,209,42.0,-25.2,-11.599999999999994,16.799999999999997
F1,13,99,35.5,79.0,123,36.1,-63.5,-20.0,-27.400000000000006
F1,16,79,27.4,43.400000000000006,193,37.3,-51.6,-35.599999999999994,-14.300000000000011
F1,20,165,71.4,136.60000000000002,165,55.2,-93.6,-28.399999999999977,-38.39999999999999
F1,24,131,90.2,167.8,229,79.9,-40.8,36.80000000000001,39.10000000000002
F1,25,142,121.4,146.8,276,74.3,-20.599999999999994,4.800000000000011,53.69999999999999
F1,28,424,180.8,267.4000000000001,424,145.9,-243.2,-156.5999999999999,-97.29999999999995
F1,35,448,246.0,367.20000000000005,448,202.0,-202.0,-80.79999999999995,0.0
F2,3,95,53.4,95.0,126,35.2,-41.6,0.0,-6.400000000000006
F2,6,55,23.7,44.400000000000006,77,21.6,-31.3,-10.599999999999994,-9.700000000000003
F2,9,34,19.8,31.0,76,16.3,-14.2,-3.0,2.1000000000000014
F2,14,35,20.6,30.200000000000003,60,15.0,-14.399999999999999,-4.799999999999997,0.6000000000000014
F2,19,41,27.3,44.000000000000014,94,21.6,-13.7,3.000000000000014,7.900000000000006
F2,23,36,35.4,47.0,125,29.1,-0.6000000000000014,11.0,28.5
F2,24,56,32.2,58.0,154,36.6,-23.799999999999997,2.0,12.800000000000011
F2,25,38,35.7,57.80000000000001,114,31.5,-2.299999999999997,19.80000000000001,29.200000000000003
F2,29,60,47.8,61.6,132,34.4,-12.200000000000003,1.6000000000000014,22.19999999999999
F2,31,329,113.9,177.39999999999998,329,100.6,-215.1,-151.60000000000002,-114.5
F2,34,170,97.8,133.60000000000005,394,123.0,-72.2,-36.39999999999995,50.80000000000001
F2,38,178,164.0,181.0,183,23.4,-14.0,3.0,9.400000000000006
F2,39,85,78.5,129.40000000000003,196,73.4,-6.5,44.400000000000034,66.9
F3,5,116,101.8,134.20000000000002,207,61.3,-14.200000000000003,18.200000000000017,47.099999999999994
F3,7,113,69.3,105.00000000000003,146,36.8,-43.7,-7.999999999999972,-6.900000000000006
F3,10,78,44.2,68.0,198,48.1,-33.8,-10.0,14.300000000000011
F3,13,108,50.6,106.80000000000001,124,42.8,-57.4,-1.1999999999999886,-14.599999999999994
F3,14,67,31.7,60.0,204,39.5,-35.3,-7.0,4.200000000000003
F3,18,49,29.0,45.0,118,28.7,-20.0,-4.0,8.700000000000003
F3,21,44,28.9,39.8,160,33.2,-15.100000000000001,-4.200000000000003,18.1
F3,24,34,22.5,30.0,142,23.5,-11.5,-4.0,12.0
F3,32,36,35.0,63.0,92,28.1,-1.0,27.0,27.1
F3,35,64,45.0,69.20000000000003,108,30.7,-19.0,5.200000000000031,11.700000000000003
F3,36,68,67.8,109.2,125,41.1,-0.20000000000000284,41.2,40.900000000000006
F3,38,89,50.4,102.60000000000001,155,49.7,-38.6,13.600000000000009,11.099999999999994
F3,43,178,111.1,158.00000000000003,325,96.5,-66.9,-19.99999999999997,29.599999999999994
F3,44,278,105.0,174.80000000000007,278,106.1,-173.0,-103.19999999999993,-66.9
F3,51,476,269.5,393.40000000000003,476,206.5,-206.5,-82.59999999999997,0.0
F4,15,237,75.1,142.8,237,73.8,-161.9,-94.19999999999999,-88.10000000000002
F4,17,113,82.7,116.0,131,34.4,-30.299999999999997,3.0,4.099999999999994
F4,18,202,70.2,109.0,202,58.5,-131.8,-93.0,-73.30000000000001
F4,23,118,43.9,56.0,118,29.3,-74.1,-62.0,-44.8
F4,24,79,28.1,42.400000000000006,93,23.3,-50.9,-36.599999999999994,-27.599999999999994
F4,25,63,41.7,83.80000000000001,134,41.8,-21.299999999999997,20.80000000000001,20.5
F4,28,28,24.3,43.6,106,24.0,-3.6999999999999993,15.600000000000001,20.299999999999997
F4,35,76,25.1,39.0,81,20.1,-50.9,-37.0,-30.799999999999997
F4,37,40,32.9,55.20000000000003,110,30.4,-7.100000000000001,15.200000000000031,23.299999999999997
F4,38,69,34.3,70.60000000000001,136,36.5,-34.7,1.6000000000000085,1.7999999999999972
F4,40,22,21.1,28.4,95,19.2,-0.8999999999999986,6.399999999999999,18.299999999999997
F4,43,88,35.5,59.2,91,26.3,-52.5,-28.799999999999997,-26.200000000000003
F4,45,56,45.2,67.0,123,32.7,-10.799999999999997,11.0,21.900000000000006
F4,47,109,68.1,108.19999999999999,193,63.4,-40.900000000000006,-0.8000000000000114,22.5
F4,50,256,142.7,189.0,256,76.7,-113.30000000000001,-67.0,-36.60000000000002
F4,51,159,140.2,210.40000000000003,416,151.2,-18.80000000000001,51.400000000000034,132.39999999999998
F4,53,476,206.0,317.20000000000005,476,191.0,-270.0,-158.79999999999995,-79.0
F5,12,116,99.0,109.2,116,17.0,-17.0,-6.799999999999997,0.0
F5,15,129,100.0,117.4,129,29.0,-29.0,-11.599999999999994,0.0
F5,19,385,258.0,334.2,385,127.0,-127.0,-50.80000000000001,0.0
F5,20,625,211.2,365.20000000000016,625,249.8,-413.8,-259.79999999999984,-164.0
F5,21,181,130.0,178.60000000000002,329,99.6,-51.0,-2.3999999999999773,48.599999999999994
F5,26,75,54.5,84.00000000000003,211,58.1,-20.5,9.000000000000028,37.599999999999994
F5,29,156,50.1,74.6,156,37.5,-105.9,-81.4,-68.4
F5,32,82,32.0,48.40000000000001,105,24.8,-50.0,-33.59999999999999,-25.200000000000003
F5,37,114,28.4,44.0,114,24.7,-85.6,-70.0,-60.900000000000006
F5,40,38,26.8,38.0,104,25.7,-11.2,0.0,14.5
F5,44,64,20.9,37.8,97,21.0,-43.1,-26.200000000000003,-22.1
F5,47,49,23.5,40.60000000000001,73,19.7,-25.5,-8.399999999999991,-5.799999999999997
F5,49,74,27.8,46.60000000000001,110,23.0,-46.2,-27.39999999999999,-23.200000000000003
F5,50,48,17.9,26.200000000000003,94,20.3,-30.1,-21.799999999999997,-9.799999999999997
F5,53,35,32.9,53.0,112,27.0,-2.1000000000000014,18.0,24.9
F6,27,511,281.7,421.0,511,189.0,-229.3,-90.0,-40.30000000000001
F6,30,647,265.0,427.00000000000006,647,270.8,-382.0,-219.99999999999994,-111.20000000000005
F6,32,744,262.0,461.2000000000001,744,341.1,-482.0,-282.7999999999999,-140.89999999999998
F6,35,107,83.5,143.60000000000002,202,66.6,-23.5,36.60000000000002,43.099999999999994
F6,36,104,83.9,104.0,386,104.4,-20.099999999999994,0.0,84.30000000000001
F6,38,113,44.4,62.400000000000006,212,48.6,-68.6,-50.599999999999994,-20.0
F6,39,145,82.7,103.0,212,52.3,-62.3,-42.0,-10.0
F6,45,76,23.6,33.80000000000001,105,23.0,-52.4,-42.19999999999999,-29.4
F6,49,29,15.0,22.0,56,12.5,-14.0,-7.0,-1.5
F6,51,25,19.3,29.200000000000003,80,17.8,-5.699999999999999,4.200000000000003,12.100000000000001
F6,52,22,13.1,20.200000000000003,60,11.4,-8.9,-1.7999999999999972,2.5
F6,54,46,9.8,14.0,46,9.4,-36.2,-32.0,-26.799999999999997
F6,55,18,10.7,17.0,45,9.3,-7.300000000000001,-1.0,2.0
