POS,NUM,UAP,PROM,80_P,MAX,D1
R1,1.0,23,7.9,9.600000000000001,22,-15.1
R1,3.0,16,6.3,8.600000000000001,15,-9.7
R1,4.0,4,6.5,9.8,15,2.5
R1,5.0,8,6.8,10.600000000000003,16,-1.2000000000000002
R1,7.0,9,8.5,13.0,15,-0.5
R1,9.0,17,6.4,9.200000000000001,16,-10.6
R2,0.0,25,10.2,11.200000000000003,24,-14.8
R2,1.0,16,6.9,13.000000000000002,15,-9.1
R2,2.0,26,8.2,11.0,25,-17.8
R2,3.0,5,4.4,6.6000000000000005,9,-0.5999999999999996
R2,4.0,6,8.8,13.200000000000001,18,2.8000000000000007
R2,5.0,20,10.8,19.0,19,-9.2
R2,8.0,7,5.8,9.4,14,-1.2000000000000002
R2,9.0,19,14.5,16.6,18,-4.5
R3,2.0,33,11.8,12.800000000000004,32,-21.2
R3,3.0,16,7.8,11.400000000000002,15,-8.2
R3,5.0,17,11.7,16.6,17,-5.300000000000001
R3,6.0,9,8.3,9.600000000000001,25,-0.6999999999999993
R3,8.0,19,8.8,18.0,20,-10.2
R3,9.0,23,7.0,11.000000000000004,22,-16.0
R4,0.0,2,4.1,7.400000000000002,10,2.0999999999999996
R4,1.0,6,8.5,10.600000000000001,12,2.5
R4,3.0,46,23.5,36.4,45,-22.5
R4,4.0,21,8.4,12.600000000000001,20,-12.6
R4,8.0,8,5.8,8.600000000000001,15,-2.2
R4,9.0,15,7.0,11.600000000000003,22,-8.0
R5,0.0,4,6.9,10.400000000000002,17,2.9000000000000004
R5,2.0,11,7.1,8.8,26,-3.9000000000000004
R5,5.0,10,12.5,15.800000000000004,23,2.5
R5,8.0,8,7.4,11.000000000000004,15,-0.5999999999999996
R5,9.0,9,11.6,18.8,22,2.5999999999999996
