SORTEO,R1,R2,R3,R4,R5,FECHA
7566,4,6,13,14,28,2019-12-25
7530,1,5,12,13,23,2019-12-07
7501,2,4,17,18,20,2019-11-23
7496,9,12,20,22,25,2019-11-20
7494,1,10,14,19,23,2019-11-19
7490,8,10,12,16,26,2019-11-17
7489,4,6,7,15,18,2019-11-17
7484,2,4,10,19,24,2019-11-14
7467,3,8,10,17,23,2019-11-06
7436,3,9,21,27,28,2019-10-21
7400,5,13,14,15,17,2019-10-03
7392,1,5,6,10,21,2019-09-29
7356,10,12,14,19,23,2019-09-11
7342,19,23,24,26,28,2019-09-04
7331,2,9,15,24,26,2019-08-30
7304,1,10,16,18,22,2019-08-16
7272,2,3,20,26,27,2019-07-31
7268,14,15,18,22,28,2019-07-29
7262,7,10,16,27,28,2019-07-26
7244,2,9,15,24,26,2019-07-17
7228,3,12,18,24,28,2019-07-09
7217,5,14,21,25,28,2019-07-04
7214,6,11,18,26,27,2019-07-02
7180,4,7,15,18,21,2019-06-15
7174,6,12,24,26,27,2019-06-12
7164,8,9,14,24,25,2019-06-07
7158,3,10,15,19,20,2019-06-04
7157,7,15,16,18,28,2019-06-04
7147,5,13,14,15,17,2019-05-30
7133,4,11,16,25,28,2019-05-23
7130,3,9,14,21,22,2019-05-21
7122,21,22,24,25,26,2019-05-17
7111,7,10,18,19,21,2019-05-12
7099,1,20,21,22,25,2019-05-06
7088,2,4,6,19,26,2019-04-30
7068,4,11,15,27,28,2019-04-20
7065,1,10,15,18,26,2019-04-19
7055,7,11,17,20,26,2019-04-14
7054,11,18,20,23,26,2019-04-13
7038,3,4,8,10,27,2019-04-05
7027,11,12,18,19,21,2019-03-31
7024,5,10,12,15,16,2019-03-29
7004,6,8,11,14,26,2019-03-19
6998,7,9,12,23,26,2019-03-16
6994,2,10,12,15,22,2019-03-14
6991,12,17,21,23,26,2019-03-13
6990,4,11,16,25,28,2019-03-12
6983,1,12,16,20,21,2019-03-09
6976,7,12,21,26,27,2019-03-05
6965,1,7,22,23,26,2019-02-28
6959,6,13,14,26,28,2019-02-25
6952,1,15,21,23,28,2019-02-21
6950,2,18,24,27,28,2019-02-20
6949,8,9,19,23,25,2019-02-20
6936,6,7,10,20,26,2019-02-13
6927,6,9,12,17,18,2019-02-09
6926,4,7,15,18,21,2019-02-08
6901,3,4,5,19,21,2019-01-27
6893,1,14,18,22,26,2019-01-23
6882,2,10,17,19,25,2019-01-17
6865,6,7,10,20,26,2019-01-09
6820,7,12,17,23,27,2018-12-17
6804,1,13,17,18,21,2018-12-09
6802,1,5,6,10,21,2018-12-08
6781,5,10,15,21,24,2018-11-28
6777,1,2,7,24,26,2018-11-26
6773,13,15,16,18,26,2018-11-24
6757,11,14,16,18,22,2018-11-16
6755,4,7,15,18,21,2018-11-15
6754,11,12,18,19,21,2018-11-14
6723,6,15,18,19,21,2018-10-30
6700,7,10,16,27,28,2018-10-18
6682,4,5,14,25,26,2018-10-09
6668,14,15,16,17,25,2018-10-02
6665,3,4,8,10,27,2018-10-01
6659,6,13,20,24,27,2018-09-28
6626,13,15,16,18,26,2018-09-11
6607,11,15,19,24,28,2018-09-02
6601,6,13,20,24,27,2018-08-30
6596,6,9,12,17,18,2018-08-27
6588,6,10,17,23,27,2018-08-23
6566,2,5,7,17,27,2018-08-12
6557,3,6,8,19,21,2018-08-08
6526,4,5,14,25,26,2018-07-23
6517,14,16,19,22,26,2018-07-19
6500,3,5,7,11,27,2018-07-10
6483,4,7,14,21,25,2018-07-02
6479,6,9,12,20,26,2018-06-30
6474,8,9,14,24,25,2018-06-27
6471,11,12,17,18,24,2018-06-26
6466,2,8,9,11,27,2018-06-23
6459,7,11,12,18,27,2018-06-20
6422,5,6,7,23,28,2018-06-01
6412,3,4,7,25,27,2018-05-27
6386,1,17,24,26,28,2018-05-14
6369,3,4,16,19,25,2018-05-06
6332,1,2,4,16,19,2018-04-17
6221,3,5,12,13,28,2018-02-21
6207,13,18,24,25,28,2018-02-14
6203,11,15,19,24,28,2018-02-12
6191,9,13,16,26,27,2018-02-06
6189,3,7,11,19,23,2018-02-05
6187,18,22,23,26,27,2018-02-04
6186,8,10,13,15,17,2018-02-03
6175,8,10,12,20,27,2018-01-29
6164,2,5,9,15,17,2018-01-23
6148,3,4,7,25,27,2018-01-15
6123,5,10,18,20,28,2018-01-03
6122,9,17,20,27,28,2018-01-02
6109,2,13,17,21,22,2017-12-27
6094,2,6,10,18,28,2017-12-19
6074,5,10,12,15,16,2017-12-09
6072,1,3,6,23,26,2017-12-08
6043,1,20,21,22,25,2017-11-24
6032,5,15,16,24,28,2017-11-18
6030,5,10,11,13,27,2017-11-17
6008,6,11,18,26,27,2017-11-06
6006,5,18,21,23,24,2017-11-05
5982,2,8,10,11,15,2017-10-24
5958,2,8,12,23,24,2017-10-12
5953,3,20,21,23,27,2017-10-10
5945,8,10,12,16,26,2017-10-06
5944,3,4,20,22,25,2017-10-05
5940,4,8,15,17,20,2017-10-03
5938,1,15,16,17,28,2017-10-02
5931,5,15,16,24,28,2017-09-29
5926,1,3,4,11,18,2017-09-26
5907,1,3,6,23,26,2017-09-09
5896,5,11,13,20,27,2017-08-29
5876,3,9,21,27,28,2017-08-09
5830,3,9,15,18,19,2017-06-24
5823,3,9,13,18,20,2017-06-17
5808,2,11,16,19,23,2017-06-02
5807,5,12,16,17,20,2017-06-01
5783,1,7,9,25,26,2017-05-08
5776,2,4,10,19,24,2017-05-01
5764,6,9,12,20,26,2017-04-19
5741,10,16,17,21,25,2017-03-27
5735,3,4,20,21,27,2017-03-21
5721,7,10,13,26,27,2017-03-07
5716,11,14,16,18,22,2017-03-02
5689,3,4,16,19,25,2017-02-03
5671,8,17,19,22,24,2017-01-16
5662,1,14,18,22,26,2017-01-07
5639,5,12,16,17,20,2016-12-15
5628,8,9,19,23,25,2016-12-04
5611,3,5,13,19,28,2016-11-17
5601,2,8,12,23,24,2016-11-07
5563,5,10,15,21,24,2016-09-30
5562,1,9,23,27,28,2016-09-29
5557,1,2,4,16,19,2016-09-24
