SORTEO,R1,R2,R3,R4,R5,FECHA
24984,1,6,9,9,3,2020-01-07
24982,5,7,7,6,6,2020-01-06
24976,3,8,4,9,6,2020-01-05
24974,7,6,2,3,6,2020-01-05
24975,3,5,4,3,0,2020-01-05
24967,3,1,8,6,2,2020-01-03
24922,3,2,9,5,0,2019-12-25
24920,2,2,8,2,2,2019-12-25
24912,0,7,6,1,4,2019-12-23
24911,9,5,7,6,7,2019-12-23
24885,0,3,5,0,6,2019-12-18
24875,3,8,1,9,3,2019-12-16
24863,9,9,6,7,5,2019-12-14
24859,0,9,2,0,1,2019-12-13
24851,8,9,4,0,2,2019-12-11
24839,7,6,6,5,9,2019-12-09
24830,4,1,6,1,4,2019-12-07
24810,3,8,1,9,3,2019-12-03
24805,9,1,8,9,4,2019-12-02
24795,4,1,1,5,3,2019-11-30
24792,1,1,6,5,0,2019-11-29
24787,9,8,7,2,0,2019-11-28
24780,1,0,0,3,4,2019-11-27
24779,3,4,2,8,8,2019-11-27
24776,7,9,1,0,6,2019-11-26
24763,2,7,1,8,5,2019-11-24
24742,1,7,1,3,0,2019-11-19
24740,6,5,1,2,0,2019-11-19
24738,8,1,7,5,8,2019-11-19
24737,0,5,3,7,9,2019-11-18
24729,0,1,2,4,6,2019-11-17
24721,2,8,5,9,5,2019-11-15
24712,1,1,2,1,0,2019-11-13
24708,1,9,3,0,4,2019-11-13
24706,4,1,2,1,3,2019-11-12
24699,6,7,0,7,7,2019-11-11
24698,4,0,1,6,9,2019-11-11
24694,1,7,1,2,1,2019-11-10
24682,5,8,6,6,7,2019-11-07
24673,0,4,0,8,3,2019-11-06
24671,3,0,7,2,6,2019-11-05
24655,0,0,7,0,1,2019-11-02
24643,0,8,5,1,3,2019-10-31
24644,5,8,9,9,5,2019-10-31
24642,5,1,6,5,2,2019-10-30
24627,0,3,1,9,1,2019-10-27
24613,2,9,2,2,4,2019-10-25
24607,1,3,3,9,8,2019-10-23
24600,4,3,3,0,6,2019-10-22
24588,6,7,0,7,7,2019-10-20
24581,3,1,7,9,1,2019-10-18
24573,6,6,7,3,6,2019-10-17
24551,3,2,8,9,7,2019-10-12
24545,5,0,2,7,4,2019-10-11
24529,3,7,1,7,4,2019-10-08
24525,5,0,2,4,4,2019-10-07
24524,7,5,9,8,8,2019-10-07
24526,9,4,0,1,3,2019-10-07
24519,2,9,8,3,6,2019-10-06
24516,0,8,5,0,3,2019-10-05
24484,0,8,5,1,3,2019-09-29
24469,4,9,0,4,2,2019-09-26
24460,1,8,3,8,0,2019-09-24
24442,9,8,3,4,7,2019-09-20
24441,6,0,5,9,9,2019-09-20
24440,2,3,9,4,5,2019-09-20
24434,5,5,2,5,5,2019-09-19
24415,5,4,9,7,9,2019-09-15
24413,0,3,0,0,9,2019-09-15
24410,8,1,0,7,3,2019-09-14
24395,3,4,7,3,4,2019-09-11
24397,3,4,0,9,8,2019-09-11
24392,2,9,2,2,4,2019-09-10
24390,2,3,9,8,7,2019-09-10
24386,0,4,5,7,3,2019-09-09
24372,0,4,9,3,4,2019-09-06
24371,1,2,0,4,8,2019-09-06
24352,9,0,1,5,8,2019-09-02
24351,9,0,7,6,0,2019-09-02
24326,0,1,2,4,6,2019-08-28
24325,7,5,9,0,5,2019-08-28
24320,7,5,1,0,5,2019-08-27
24298,2,1,6,5,9,2019-08-23
24289,3,9,5,3,4,2019-08-21
24290,8,6,8,5,8,2019-08-21
24264,9,5,4,2,3,2019-08-16
24260,3,0,0,5,6,2019-08-15
24242,1,2,2,7,2,2019-08-11
24241,2,2,8,1,7,2019-08-11
24210,6,3,3,4,0,2019-08-05
24201,3,4,2,8,8,2019-08-03
24200,9,2,7,5,8,2019-08-03
24191,6,6,0,8,9,2019-08-01
24189,5,6,0,4,5,2019-08-01
24188,1,6,9,9,3,2019-08-01
24172,1,0,0,1,6,2019-07-28
24152,1,6,5,3,6,2019-07-24
24135,4,8,2,5,0,2019-07-21
24122,1,2,6,5,8,2019-07-18
24111,0,2,2,9,2,2019-07-16
24102,1,3,0,7,5,2019-07-14
24094,9,1,1,4,9,2019-07-13
24093,2,1,0,9,7,2019-07-13
24083,9,5,9,9,1,2019-07-11
24078,8,8,0,8,1,2019-07-10
24074,1,0,5,6,3,2019-07-09
24067,6,7,6,7,9,2019-07-07
24051,2,6,7,0,8,2019-07-04
24046,6,7,6,9,3,2019-07-03
24044,8,2,9,1,6,2019-07-03
24040,2,8,1,4,4,2019-07-02
24036,0,8,0,2,2,2019-07-01
24023,9,9,7,2,2,2019-06-29
24024,5,2,0,7,8,2019-06-29
24022,1,9,3,5,4,2019-06-28
24005,9,4,8,1,5,2019-06-25
24002,4,4,0,0,3,2019-06-24
23992,5,8,7,1,4,2019-06-22
23989,6,1,1,5,2,2019-06-22
23974,4,7,4,4,0,2019-06-19
23962,2,8,5,1,7,2019-06-16
23929,1,0,0,3,4,2019-06-10
23925,0,5,1,9,1,2019-06-09
23922,5,6,3,7,8,2019-06-08
23912,7,2,6,0,9,2019-06-06
23910,7,5,9,5,5,2019-06-06
23894,7,8,7,8,7,2019-06-03
23897,6,6,4,1,2,2019-06-03
23889,3,2,6,0,1,2019-06-02
23882,7,9,7,6,6,2019-05-31
23869,0,1,6,8,6,2019-05-29
23868,3,7,5,1,3,2019-05-29
23861,6,1,1,3,3,2019-05-27
23855,1,6,8,5,8,2019-05-26
23837,1,3,6,0,6,2019-05-22
23833,0,4,9,0,1,2019-05-22
23832,5,4,0,3,5,2019-05-21
23828,0,3,9,6,3,2019-05-21
23802,5,9,8,4,5,2019-05-15
23794,0,8,5,0,5,2019-05-14
23797,5,7,4,3,5,2019-05-14
23792,0,1,8,3,5,2019-05-13
23784,9,3,8,5,0,2019-05-12
23782,3,5,9,5,9,2019-05-11
23766,9,1,8,4,6,2019-05-08
23758,5,0,8,7,5,2019-05-07
23754,2,6,6,3,4,2019-05-06
23749,9,5,3,0,5,2019-05-05
23745,9,6,0,9,6,2019-05-04
23740,5,9,0,7,6,2019-05-03
23719,1,9,4,2,7,2019-04-29
23712,2,8,2,0,3,2019-04-27
23704,2,1,0,7,5,2019-04-26
23706,1,8,0,4,7,2019-04-26
23690,2,0,7,4,5,2019-04-23
23689,1,4,8,8,6,2019-04-23
23674,6,4,6,8,6,2019-04-20
23670,2,8,8,6,6,2019-04-19
23659,3,2,4,3,1,2019-04-17
23655,9,8,2,2,5,2019-04-16
23654,2,2,8,2,1,2019-04-16
23638,3,9,3,9,3,2019-04-13
23620,5,8,6,3,8,2019-04-09
23617,9,5,6,1,5,2019-04-08
23614,5,3,8,8,4,2019-04-08
23613,3,0,6,8,8,2019-04-08
23597,9,9,5,6,2,2019-04-04
23591,0,6,4,0,7,2019-04-03
23592,0,8,0,2,2,2019-04-03
23586,4,7,7,4,0,2019-04-02
23585,9,2,1,2,5,2019-04-02
23580,8,3,5,6,8,2019-04-01
23574,6,2,4,9,5,2019-03-31
23563,3,4,7,3,4,2019-03-29
23559,8,5,5,4,1,2019-03-28
23544,2,0,3,0,6,2019-03-25
23535,6,9,6,6,4,2019-03-23
23532,8,6,8,7,6,2019-03-22
23516,5,9,7,3,9,2019-03-19
23515,5,4,4,9,5,2019-03-19
23496,1,9,2,6,4,2019-03-15
23490,3,2,7,3,5,2019-03-14
23474,8,3,2,8,9,2019-03-11
23456,3,3,1,5,3,2019-03-07
23455,0,4,1,5,0,2019-03-07
23453,0,2,3,5,0,2019-03-07
23437,2,4,5,2,6,2019-03-03
23433,7,2,2,6,3,2019-03-03
23427,6,1,2,1,9,2019-03-01
23426,8,7,7,0,6,2019-03-01
23422,7,9,7,6,6,2019-02-28
23413,6,6,5,8,5,2019-02-27
23404,5,8,6,8,0,2019-02-25
23395,8,5,4,4,6,2019-02-23
23389,9,7,5,8,5,2019-02-22
23387,3,0,5,5,5,2019-02-21
23362,7,3,5,9,7,2019-02-16
23347,7,0,6,8,4,2019-02-13
23346,4,7,2,1,2,2019-02-13
23345,1,1,2,1,0,2019-02-13
23343,0,2,6,7,6,2019-02-13
23340,3,3,2,0,6,2019-02-12
23339,6,2,4,9,5,2019-02-12
23334,4,7,6,6,9,2019-02-11
23329,3,1,7,3,5,2019-02-10
23325,3,3,7,7,1,2019-02-09
23319,7,8,6,6,0,2019-02-08
23314,2,1,9,3,7,2019-02-07
23313,4,3,5,1,6,2019-02-07
23310,7,3,9,5,7,2019-02-06
23291,8,2,3,1,2,2019-02-02
23285,8,4,9,3,5,2019-02-01
23281,4,7,6,8,6,2019-01-31
23279,5,5,5,3,6,2019-01-31
23275,5,7,2,8,2,2019-01-30
23272,6,9,8,0,7,2019-01-29
23268,8,0,9,1,6,2019-01-29
23258,8,7,1,0,0,2019-01-27
23247,0,4,1,5,0,2019-01-24
23246,9,5,5,6,2,2019-01-24
23243,7,4,0,0,6,2019-01-24
23233,7,7,0,6,1,2019-01-22
23231,5,0,4,1,9,2019-01-21
23229,0,1,6,8,6,2019-01-21
23219,7,3,6,5,1,2019-01-19
23221,1,0,8,8,4,2019-01-19
23213,6,6,6,8,8,2019-01-18
23214,5,9,0,0,4,2019-01-18
23210,7,3,9,2,7,2019-01-17
23208,1,2,7,5,6,2019-01-17
23205,2,4,1,0,5,2019-01-16
23188,1,6,6,0,0,2019-01-13
23187,3,2,5,6,5,2019-01-12
23185,3,7,0,4,8,2019-01-12
23170,0,5,5,3,8,2019-01-09
23163,8,2,9,0,4,2019-01-08
23155,9,5,9,7,4,2019-01-06
23151,5,6,2,3,3,2019-01-05
23148,1,7,9,4,2,2019-01-05
23132,1,3,6,0,6,2019-01-01
23118,9,0,1,6,1,2018-12-30
23114,8,5,6,0,6,2018-12-29
23109,6,1,2,1,9,2018-12-28
23101,7,3,1,7,1,2018-12-26
23083,3,7,8,7,8,2018-12-23
23079,5,5,5,4,1,2018-12-22
23068,7,9,6,4,0,2018-12-20
23065,8,7,0,7,6,2018-12-19
23045,9,4,3,8,6,2018-12-15
23043,5,5,2,5,5,2018-12-15
23034,9,5,5,7,0,2018-12-13
23032,1,1,4,8,7,2018-12-12
23016,3,9,0,8,2,2018-12-09
23006,8,0,6,4,2,2018-12-07
23003,2,8,6,6,2,2018-12-07
23002,9,1,5,3,4,2018-12-06
22993,2,8,6,6,2,2018-12-05
22990,0,1,2,4,9,2018-12-04
22985,5,2,9,2,5,2018-12-03
22980,5,0,8,7,5,2018-12-02
22974,8,2,2,7,4,2018-12-01
22966,8,6,1,1,5,2018-11-29
22962,3,0,6,8,8,2018-11-28
22939,3,8,8,5,9,2018-11-24
22935,9,2,7,2,4,2018-11-23
22933,7,4,6,7,8,2018-11-23
22929,6,7,5,9,0,2018-11-22
22928,4,3,5,4,0,2018-11-22
22916,5,6,3,7,8,2018-11-19
22900,0,8,5,2,6,2018-11-16
22891,2,9,7,5,7,2018-11-14
22885,0,6,6,6,6,2018-11-13
22875,2,7,3,8,1,2018-11-11
22859,9,6,0,1,0,2018-11-08
22849,0,6,6,6,6,2018-11-06
22842,7,3,8,6,4,2018-11-04
22835,8,8,4,2,0,2018-11-03
22821,4,4,0,0,3,2018-10-31
22818,8,6,8,7,6,2018-10-31
22803,1,3,2,3,8,2018-10-28
22799,7,6,4,1,5,2018-10-27
22798,2,0,2,2,5,2018-10-27
22794,8,5,8,5,3,2018-10-26
22786,0,7,8,6,4,2018-10-24
22782,0,5,1,0,1,2018-10-23
22774,7,7,8,0,5,2018-10-22
22773,9,9,7,2,2,2018-10-22
22760,5,8,7,0,7,2018-10-19
22757,8,7,0,7,6,2018-10-18
22756,3,7,4,0,8,2018-10-18
22742,4,7,5,9,7,2018-10-15
22736,1,6,4,8,9,2018-10-14
22725,5,1,7,1,2,2018-10-12
22720,3,5,4,1,8,2018-10-11
22719,1,1,3,4,1,2018-10-11
22716,5,3,3,7,6,2018-10-10
22711,3,6,1,7,2,2018-10-09
22698,1,7,2,7,0,2018-10-07
22696,0,1,1,0,6,2018-10-06
22687,5,9,8,4,5,2018-10-04
22686,2,7,7,6,0,2018-10-04
22678,4,9,0,4,2,2018-10-03
22664,2,0,3,0,6,2018-09-30
22653,4,5,8,9,5,2018-09-28
